[Monday/September 16/09/2024 13:17:55] F:\Entertainment\Anime\Boku no Hero Academia 7\My.Hero.Academia.S07E17.1080p.B-Global.WEB-DL.JPN.AAC2.0.H.265.MSubs-ToonsHub.mkv | length=1430.72 | time=2.711
[Monday/September 16/09/2024 13:18:08] F:\Entertainment\Anime\Boku no Hero Academia 7\My.Hero.Academia.S07E17.1080p.B-Global.WEB-DL.JPN.AAC2.0.H.265.MSubs-ToonsHub.mkv | length=1430.72 | time=540.541
[Monday/September 16/09/2024 13:18:18] F:\Entertainment\Anime\Boku no Hero Academia 7\My.Hero.Academia.S07E17.1080p.B-Global.WEB-DL.JPN.AAC2.0.H.265.MSubs-ToonsHub.mkv | length=1430.72 | time=7.424
[Monday/September 16/09/2024 14:04:23] F:\Entertainment\Anime\Kami no Tou Tower of God - Ouji no Kikan\[Erai-raws] Kami no Tou - Ouji no Kikan - 11 [1080p][HEVC][Multiple Subtitle][F5B16EA4].mkv | length=1421.28 | time=1.71
[Monday/September 16/09/2024 14:04:31] F:\Entertainment\Anime\Kami no Tou Tower of God - Ouji no Kikan\[Erai-raws] Kami no Tou - Ouji no Kikan - 11 [1080p][HEVC][Multiple Subtitle][F5B16EA4].mkv | length=1421.28 | time=4.755
[Monday/September 16/09/2024 14:26:30] F:\Entertainment\Anime\World Trigger\[Judas] World Trigger (Season 1) [BD 1080p][HEVC x265 10bit][Eng-Subs]\[Judas] World Trigger - S01E02.mkv | length=1378.258 | time=4.63
[Monday/September 16/09/2024 14:31:58] F:\Entertainment\Anime\World Trigger\[Judas] World Trigger (Season 1) [BD 1080p][HEVC x265 10bit][Eng-Subs]\[Judas] World Trigger - S01E01.mkv | length=1379.223 | time=5.839
[Monday/September 16/09/2024 14:33:31] F:\Entertainment\Anime\World Trigger\[Judas] World Trigger (Season 1) [BD 1080p][HEVC x265 10bit][Eng-Subs]\[Judas] World Trigger - S01E01.mkv | length=1379.223 | time=271.438
[Monday/September 16/09/2024 14:35:28] F:\Entertainment\Anime\World Trigger\[Judas] World Trigger (Season 1) [BD 1080p][HEVC x265 10bit][Eng-Subs]\[Judas] World Trigger - S01E01.mkv | length=1379.223 | time=533.825
[Monday/September 16/09/2024 14:44:46] F:\Entertainment\Anime\World Trigger\[Judas] World Trigger (Season 1) [BD 1080p][HEVC x265 10bit][Eng-Subs]\[Judas] World Trigger - S01E06.mkv | length=1374.007 | time=873.039
[Monday/September 16/09/2024 15:18:53] F:\Entertainment\Anime\Kami no Tou Tower of God - Ouji no Kikan\[Erai-raws] Kami no Tou - Ouji no Kikan - 11 [1080p][HEVC][Multiple Subtitle][F5B16EA4].mkv | length=1421.28 | time=1358.44
[Monday/September 16/09/2024 15:34:01] F:\Entertainment\Anime\Summer Time Render\Summertime Render S01 1080p WEBRip AAC x265-EMBER\[EMBER] Summertime Rendering - 01.mkv | length=1511.927 | time=41.208
[Monday/September 16/09/2024 18:49:53] F:\Entertainment\Anime\Summer Time Render\Summertime Render S01 1080p WEBRip AAC x265-EMBER\[EMBER] Summertime Rendering - 01.mkv | length=1511.927 | time=1498.706
[Monday/September 16/09/2024 19:33:32] F:\Entertainment\Anime\Undead Girl Murder Farce\[DKB] Undead Girl Murder Farce - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]\[DKB] Undead Girl Murder Farce - S01E01 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1370.14 | time=122.831
[Monday/September 16/09/2024 19:33:51] F:\Entertainment\Anime\World Trigger\[Judas] World Trigger (Season 1) [BD 1080p][HEVC x265 10bit][Eng-Subs]\[Judas] World Trigger - S01E06.mkv | length=1374.007 | time=1.501
[Monday/September 16/09/2024 19:34:18] F:\Entertainment\Anime\World Trigger\[Judas] World Trigger (Season 1) [BD 1080p][HEVC x265 10bit][Eng-Subs]\[Judas] World Trigger - S01E06.mkv | length=1374.007 | time=16.683
[Monday/September 16/09/2024 20:05:59] F:\Entertainment\Anime\Summer Time Render\Summertime Render S01 1080p WEBRip AAC x265-EMBER\[EMBER] Summertime Rendering - 02.mkv | length=1422.046 | time=1407.239
[Monday/September 16/09/2024 21:08:21] F:\Entertainment\Anime\Summer Time Render\Summertime Render S01 1080p WEBRip AAC x265-EMBER\[EMBER] Summertime Rendering - 03.mkv | length=1422.063 | time=0
